trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
AIR_402_V5_M,5:12:00,5:12:00,90403,3,0,0
AIR_402_V5_M,5:13:00,5:13:00,90404,4,0,0
AIR_402_V5_M,5:17:00,5:17:00,90405,7,0,0
AIR_402_V5_M,5:27:00,5:27:00,90406,13,0,0
AIR_402_V6_M,5:09:00,5:09:00,90401,1,0,0
AIR_402_V6_M,5:11:00,5:11:00,90402,2,0,0
AIR_402_V6_M,5:12:00,5:12:00,90403,3,0,0
AIR_402_V6_M,5:13:00,5:13:00,90404,4,0,0
AIR_402_V6_M,5:17:00,5:17:00,90405,7,0,0
AIR_402_V6_M,5:27:00,5:27:00,90406,13,0,0
AIR_402_V7_M,5:09:00,5:09:00,90401,1,0,0
AIR_402_V7_M,5:11:00,5:11:00,90402,2,0,0
AIR_402_V7_M,5:12:00,5:12:00,90403,3,0,0
AIR_402_V7_M,5:13:00,5:13:00,90404,4,0,0
AIR_402_V7_M,5:17:00,5:17:00,90405,7,0,0
AIR_402_V7_M,5:27:00,5:27:00,90406,13,0,0
AIR_404_V5_M,6:09:00,6:09:00,90401,1,0,0
AIR_404_V5_M,6:11:00,6:11:00,90402,2,0,0
AIR_404_V5_M,6:12:00,6:12:00,90403,3,0,0
AIR_404_V5_M,6:13:00,6:13:00,90404,4,0,0
AIR_404_V5_M,6:17:00,6:17:00,90405,7,0,0
AIR_404_V5_M,6:27:00,6:27:00,90406,13,0,0
AIR_406_V6_M,6:39:00,6:39:00,90401,1,0,0
AIR_406_V6_M,6:41:00,6:41:00,90402,2,0,0
AIR_406_V6_M,6:42:00,6:42:00,90403,3,0,0
AIR_406_V6_M,6:43:00,6:43:00,90404,4,0,0
AIR_406_V6_M,6:47:00,6:47:00,90405,7,0,0
AIR_406_V6_M,6:57:00,6:57:00,90406,13,0,0
AIR_406_V7_M,6:39:00,6:39:00,90401,1,0,0
AIR_406_V7_M,6:41:00,6:41:00,90402,2,0,0
AIR_406_V7_M,6:42:00,6:42:00,90403,3,0,0
AIR_406_V7_M,6:43:00,6:43:00,90404,4,0,0
AIR_406_V7_M,6:47:00,6:47:00,90405,7,0,0
AIR_406_V7_M,6:57:00,6:57:00,90406,13,0,0
AIR_410_V6_M,7:39:00,7:39:00,90401,1,0,0
AIR_410_V6_M,7:41:00,7:41:00,90402,2,0,0
AIR_410_V6_M,7:42:00,7:42:00,90403,3,0,0
AIR_410_V6_M,7:43:00,7:43:00,90404,4,0,0
AIR_410_V6_M,7:47:00,7:47:00,90405,7,0,0
AIR_410_V6_M,7:57:00,7:57:00,90406,13,0,0
AIR_410_V7_M,7:39:00,7:39:00,90401,1,0,0
AIR_410_V7_M,7:41:00,7:41:00,90402,2,0,0
AIR_410_V7_M,7:42:00,7:42:00,90403,3,0,0
AIR_410_V7_M,7:43:00,7:43:00,90404,4,0,0
AIR_410_V7_M,7:47:00,7:47:00,90405,7,0,0
AIR_410_V7_M,7:57:00,7:57:00,90406,13,0,0
AIR_412_V5_M,8:09:00,8:09:00,90401,1,0,0
AIR_412_V5_M,8:11:00,8:11:00,90402,2,0,0
AIR_412_V5_M,8:12:00,8:12:00,90403,3,0,0
AIR_412_V5_M,8:13:00,8:13:00,90404,4,0,0
AIR_412_V5_M,8:17:00,8:17:00,90405,7,0,0
AIR_412_V5_M,8:27:00,8:27:00,90406,13,0,0
AIR_414_V6_M,8:39:00,8:39:00,90401,1,0,0
AIR_414_V6_M,8:41:00,8:41:00,90402,2,0,0
AIR_414_V6_M,8:42:00,8:42:00,90403,3,0,0
AIR_414_V6_M,8:43:00,8:43:00,90404,4,0,0
