route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id,direction_id
AIR,M1,AIR_402_V5_M,Center City Philadelphia,402,402,AIRI_IB_1,0
AIR,M2,AIR_402_V6_M,Center City Philadelphia,402,402,AIRI_IB_1,0
AIR,M3,AIR_402_V7_M,Center City Philadelphia,402,402,AIRI_IB_1,0
AIR,M1,AIR_404_V5_M,Center City Philadelphia,404,404,AIRI_IB_1,0
AIR,M2,AIR_406_V6_M,Center City Philadelphia,406,406,AIRI_IB_1,0
AIR,M3,AIR_406_V7_M,Center City Philadelphia,406,406,AIRI_IB_1,0
AIR,M2,AIR_410_V6_M,Center City Philadelphia,410,410,AIRI_IB_1,0
AIR,M3,AIR_410_V7_M,Center City Philadelphia,410,410,AIRI_IB_1,0
AIR,M1,AIR_412_V5_M,Center City Philadelphia,412,412,AIRI_IB_1,0
AIR,M2,AIR_414_V6_M,Center City Philadelphia,414,414,AIRI_IB_1,0
AIR,M3,AIR_414_V7_M,Center City Philadelphia,414,414,AIRI_IB_1,0
AIR,M1,AIR_416_V5_M,Center City Philadelphia,416,416,AIRI_IB_1,0
AIR,M2,AIR_418_V6_M,Center City Philadelphia,418,418,AIRI_IB_1,0
AIR,M3,AIR_418_V7_M,Center City Philadelphia,418,418,AIRI_IB_1,0
AIR,M1,AIR_420_V5_M,Center City Philadelphia,420,420,AIRI_IB_1,0
AIR,M1,AIR_4222_V5_M,Center City Philadelphia,4222,4222,AIRI_IB_1,0
AIR,M2,AIR_422_V6_M,Center City Philadelphia,422,422,AIRI_IB_1,0
AIR,M3,AIR_422_V7_M,Center City Philadelphia,422,422,AIRI_IB_1,0
AIR,M1,AIR_424_V5_M,Center City Philadelphia,424,424,AIRI_IB_1,0
AIR,M2,AIR_426_V6_M,Center City Philadelphia,426,426,AIRI_IB_1,0
AIR,M3,AIR_426_V7_M,Center City Philadelphia,426,426,AIRI_IB_1,0
AIR,M1,AIR_428_V5_M,Center City Philadelphia,428,428,AIRI_IB_1,0
AIR,M2,AIR_4304_V6_M,Center City Philadelphia,4304,4304,AIRI_IB_1,0
AIR,M3,AIR_4304_V7_M,Center City Philadelphia,4304,4304,AIRI_IB_1,0
AIR,M2,AIR_4308_V6_M,Center City Philadelphia,4308,4308,AIRI_IB_1,0
AIR,M3,AIR_4308_V7_M,Center City Philadelphia,4308,4308,AIRI_IB_1,0
AIR,M2,AIR_430_V6_M,Center City Philadelphia,430,430,AIRI_IB_1,0
AIR,M3,AIR_430_V7_M,Center City Philadelphia,430,430,AIRI_IB_1,0
AIR,M2,AIR_4312_V6_M,Center City Philadelphia,4312,4312,AIRI_IB_1,0
AIR,M3,AIR_4312_V7_M,Center City Philadelphia,4312,4312,AIRI_IB_1,0
AIR,M2,AIR_4316_V6_M,Center City Philadelphia,4316,4316,AIRI_IB_1,0
AIR,M3,AIR_4316_V7_M,Center City Philadelphia,4316,4316,AIRI_IB_1,0
AIR,M2,AIR_4320_V6_M,Center City Philadelphia,4320,4320,AIRI_IB_1,0
AIR,M3,AIR_4320_V7_M,Center City Philadelphia,4320,4320,AIRI_IB_1,0
AIR,M2,AIR_4324_V6_M,Center City Philadelphia,4324,4324,AIRI_IB_1,0
AIR,M3,AIR_4324_V7_M,Center City Philadelphia,4324,4324,AIRI_IB_1,0
AIR,M2,AIR_4328_V6_M,Center City Philadelphia,4328,4328,AIRI_IB_1,0
AIR,M3,AIR_4328_V7_M,Center City Philadelphia,4328,4328,AIRI_IB_1,0
AIR,M1,AIR_432_V5_M,Center City Philadelphia,432,432,AIRI_IB_1,0
AIR,M2,AIR_4332_V6_M,Center City Philadelphia,4332,4332,AIRI_IB_1,0
AIR,M3,AIR_4332_V7_M,Center City Philadelphia,4332,4332,AIRI_IB_1,0
AIR,M2,AIR_4336_V6_M,Center City Philadelphia,4336,4336,AIRI_IB_1,0
